english,hindi
you,आप
I , मैं
to,प्रति
a , ए।
and,तथा
that,वह
it,यह
of,का
me,मुझे
what,क्या
is,है
in,में
this,यह
know,जानना
I'm,मैं हूँ
for,के लिये
no,नहीं
have,होना
my,मेरे
don't,नहीं
just,अभी
not,नहीं
do,करना
be,होना
on,पर
your,आपका
was,था
we,हम
it's,यह है
with,साथ
so,इसलिए
but,लेकिन
all,सब
well,कुंआ
are,हैं
he,वह
oh,ओह
about,में
right,अधिकार
you're,आप कर रहे हैं
get,पाना
here,यहां
out,बाहर
going,होने वाला
like,पसंद
yeah,हां
if,अगर
her,उसके
she,वह
can,कर सकते हैं
up,यूपी
want,चाहते हैं
think,सोच
that's,वह है
now,अभी
go,जाओ
him,उसे
at,पर
how,कैसे
got,प्राप्त
there,वहां
one,एक
did,किया था
why,क्यों
see,देख
come,आइए
good,अच्छा
they,वे
really,सचमुच
as,जैसा
would,चाहेंगे
look,देखना
when,कब
time,समय
will,मर्जी
okay,ठीक
back,वापस
can't,नहीं कर सकते हैं
mean,अर्थ
tell,कहना
I'll,बीमार
from,से
hey,अरे
were,थे
he's,वह
could,सकता है
didn't,नहीं था
yes,हां
his,उनके
been,गया
or,या
something,कुछ
who,who
because,चूंकि
some,कुछ
had,था
then,फिर
say,कहो
ok,ठीक है